ClinicID,OnlineAppointmentUse,malepct,unemp,age16to24,age25to34,age35to44,age45to54,age55to64,age65to74,age75to84,age85plus,phoneeasy,onlineasy,race,longstdhealth,canmngownhealth,reducedability,prefgpalways,bcaaware,vendor,numpats
1,0.059697416,0.47845274,0.108287461,0.058701488,0.181771404,0.099165901,0.182478283,0.142988716,0.1546771,0.120484602,0.059732508,0.465491695,0.767290971,0.824691419,0.526022154,0.820752927,0.651605667,0.534662427,0.180921081,TPP,4088
2,0.133762025,0.474549911,0.106176009,0.14684555,0.139272412,0.07294578,0.218529872,0.165719893,0.13986792,0.071671606,0.045146967,0.717217653,0.941950814,0.956472548,0.571299175,0.796030815,0.696665023,0.723858341,0.297806121,TPP,19599
3,0.060985102,0.404530221,0.036369436,0.067027562,0.125814392,0.195154411,0.170479312,0.181745231,0.140920913,0.095510539,0.02334764,0.857945251,0.976829112,0.922501212,0.426156225,0.955261294,0.652033421,0.563364105,0.231333533,TPP,10606
4,0.098956839,0.39806711,0.020966423,0.101616057,0.073967911,0.205222669,0.143792368,0.1324986,0.200628511,0.098240331,0.044033554,0.68878411,0.941920053,0.975630877,0.497154449,0.91280879,0.515677051,0.568219657,0.54764433,TPP,8047
5,0.099778664,0.467494355,0.034454359,0.108035312,0.181779423,0.114249793,0.120209393,0.230566607,0.127471035,0.089431212,0.028257224,0.682212132,0.848248602,0.921327021,0.644262257,0.862050464,0.598967036,0.535829334,0.405588522,TPP,14585
6,0.233971937,0.474031227,0.057741384,0.107757759,0.176758782,0.108158346,0.140900994,0.220205305,0.151779229,0.069753799,0.024685786,0.614311644,0.762332326,0.917665359,0.562132506,0.866095334,0.693685072,0.292475047,0.668771275,EMIS,10011
7,0.033566242,0.410497319,0.129959807,0.128568566,0.245256074,0.151841669,0.214051303,0.126042387,0.090947656,0.031669662,0.011622683,0.466207613,0.560104998,0.817833937,0.640000399,0.912515138,0.798009648,0.487775576,0.210068824,TPP,8623
8,0.022389973,0.512438868,0.040301397,0.064181414,0.158440655,0.156921854,0.169251181,0.231973502,0.157029197,0.05410893,0.008093267,0.500341398,0.669318183,0.980276625,0.534772171,0.715702415,0.595087089,0.567076135,0.319967368,TPP,11930
9,0.087485197,0.599368256,0.085184591,0.193253502,0.190738298,0.188394077,0.154386017,0.131744552,0.067680376,0.057072261,0.016730918,0.669779251,0.6960844,0.891711584,0.461791601,0.800377891,0.76505769,0.601983645,0.211756132,TPP,5064
10,0.12100282,0.470086861,0.014359808,0.057935116,0.160726959,0.161346134,0.220781848,0.153030554,0.173753505,0.057541711,0.014884173,0.8870066,0.96276036,0.990704264,0.731497974,0.870955036,0.494186259,0.869245104,0.48089162,TPP,6521
